_source_row,product_id,warehouse_country,stock_quantity,last_stock_update,product_id_raw,warehouse_country_raw,stock_quantity_raw,last_stock_update_raw,warehouse_country_unrecognized_flag,warehouse_country_missing_flag,stock_invalid_format_flag,stock_fractional_flag,stock_zero_flag,stock_negative_flag,last_stock_update_status,last_stock_update_format,last_stock_update_ambiguous_flag,days_since_stock_update,stock_update_after_reference_flag,stale_stock_update_review_flag,missing_product_reference_flag,stock_review_flag
1,1,Germany,430,2024-10-11,1,Germany,430,11-10-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,True,81.0,False,False,False,True
2,1,Czech Republic,129,2024-09-17,1,Czech,129,2024-09-17,False,False,False,False,False,False,valid,YYYY-MM-DD,False,105.0,False,True,False,True
3,2,Poland,0,2024-07-06,2,Polska,0,2024-07-06,False,False,False,False,True,False,valid,YYYY-MM-DD,False,178.0,False,True,False,True
4,2,Czech Republic,143,2023-10-13,2,Czechia,143,2023-10-13,False,False,False,False,False,False,valid,YYYY-MM-DD,False,445.0,False,True,False,True
5,3,Germany,46,2024-01-25,3,GER,46,2024-01-25,False,False,False,False,False,False,valid,YYYY-MM-DD,False,341.0,False,True,False,True
6,4,Poland,21,2024-04-04,4,POL,21,2024/04/04,False,False,False,False,False,False,valid,YYYY-MM-DD,False,271.0,False,True,False,True
7,5,Poland,212,2024-10-20,5,Polska,212,2024/10/20,False,False,False,False,False,False,valid,YYYY-MM-DD,False,72.0,False,False,False,True
8,5,Czech Republic,237,2024-09-14,5,CZ,237,2024-09-14,False,False,False,False,False,False,valid,YYYY-MM-DD,False,108.0,False,True,False,True
9,6,Czech Republic,177,2023-12-28,6,Czech,177,2023-12-28,False,False,False,False,False,False,valid,YYYY-MM-DD,False,369.0,False,True,False,True
10,7,Czech Republic,62,2024-08-31,7,Czech,62,2024-08-31,False,False,False,False,False,False,valid,YYYY-MM-DD,False,122.0,False,True,False,True
11,8,Poland,134,2024-04-26,8,pl,134,2024-04-26,False,False,False,False,False,False,valid,YYYY-MM-DD,False,249.0,False,True,False,True
