_source_row,product_id,category,sub_category,base_price,launch_date,product_id_raw,category_raw,sub_category_raw,base_price_raw,launch_date_raw,category_unrecognized_flag,category_missing_flag,sub_category_unrecognized_flag,sub_category_missing_flag,base_price_invalid_format_flag,base_price_non_positive_flag,launch_date_status,launch_date_format,launch_date_ambiguous_flag
1,1,Women,Activewear,163.08,2015-06-02,1,Women,Activewear,163.08,2015-06-02,False,False,False,False,False,False,valid,YYYY-MM-DD,False
2,2,Shoes,Sneakers,194.81,2018-07-29,2,Shoes,Sneakers,194.81,2018-07-29,False,False,False,False,False,False,valid,YYYY-MM-DD,False
3,3,Shoes,Sandals,262.29,2018-11-14,3,Shoes,Sandals,262.29,14-11-2018,False,False,False,False,False,False,valid,DD-MM-YYYY,False
4,4,Kids,Tops,108.43,2017-10-06,4,Kids,Tops,108.43,2017-10-06,False,False,False,False,False,False,valid,YYYY-MM-DD,False
5,5,Kids,Tops,77.96,2017-05-31,5,Kids,Tops,77.96,31-05-2017,False,False,False,False,False,False,valid,DD-MM-YYYY,False
6,6,Accessories,Bags,107.91,2020-01-13,6,Accessories,Bags,107.91,2020-01-13,False,False,False,False,False,False,valid,YYYY-MM-DD,False
7,7,Women,Jeans,204.35,2018-10-09,7,Women,Jeans,204.35,2018-10-09,False,False,False,False,False,False,valid,YYYY-MM-DD,False
8,8,Shoes,Sandals,174.48,2017-12-11,8,Shoes,Sandals,174.48,2017-12-11,False,False,False,False,False,False,valid,YYYY-MM-DD,False
9,9,Men,Outerwear,143.58,2019-02-17,9,Men,Outerwear,143.58,2019/02/17,False,False,False,False,False,False,valid,YYYY-MM-DD,False
10,10,Women,Dresses,184.03,2018-06-09,10,Women,Dresses,184.03,2018-06-09,False,False,False,False,False,False,valid,YYYY-MM-DD,False
11,11,Kids,Tops,112.41,2017-04-15,11,Kids,Tops,112.41,2017-04-15,False,False,False,False,False,False,valid,YYYY-MM-DD,False
12,12,Accessories,Jewelry,101.86,2019-07-12,12,Accessories,Jewelry,101.86,12-07-2019,False,False,False,False,False,False,valid,DD-MM-YYYY,True
13,13,Shoes,Loafers,118.67,2024-06-04,13,Shoes,Loafers,118.67,04-06-2024,False,False,False,False,False,False,valid,DD-MM-YYYY,True
14,14,Shoes,Sandals,114.59,2020-01-22,14,Shoes,Sandals,114.59,2020-01-22,False,False,False,False,False,False,valid,YYYY-MM-DD,False
15,15,Shoes,Sneakers,150.73,2020-12-22,15,Shoes,Sneakers,150.73,2020.12.22,False,False,False,False,False,False,valid,YYYY-MM-DD,False
16,16,Shoes,Loafers,147.78,2024-11-04,16,Shoes,Loafers,147.78,2024-11-04,False,False,False,False,False,False,valid,YYYY-MM-DD,False
17,17,Kids,Sleepwear,86.52,2021-02-19,17,Kids,Sleepwear,86.52,2021/02/19,False,False,False,False,False,False,valid,YYYY-MM-DD,False
18,18,Women,Outerwear,126.5,2017-03-26,18,Women,Outerwear,126.5,2017/03/26,False,False,False,False,False,False,valid,YYYY-MM-DD,False
19,19,Accessories,Bags,98.92,2018-12-26,19,Accessories,Bags,98.92,2018-12-26,False,False,False,False,False,False,valid,YYYY-MM-DD,False
20,20,Kids,Shoes,72.58,2019-11-18,20,Kids,Shoes,72.58,2019-11-18,False,False,False,False,False,False,valid,YYYY-MM-DD,False
21,21,Kids,Outerwear,80.09,2019-10-01,21,Kids,Outerwear,80.09,2019-10-01,False,False,False,False,False,False,valid,YYYY-MM-DD,False
22,22,Men,Shirts,212.9,2016-06-30,22,Men,Shirts,212.9,2016-06-30,False,False,False,False,False,False,valid,YYYY-MM-DD,False
