_source_row,order_id,order_date,customer_id,country,product_id,quantity,unit_price,discount_pct,status,rejection_reason,order_id_raw,order_date_raw,customer_id_raw,country_raw,product_id_raw,quantity_raw,unit_price_raw,discount_pct_raw,status_raw
260001,181236,2018-05-11,24515,Italy,1938,3,104.59,21.21,Shipped,exact_duplicate_copy,,,,,,,,,
260002,235394,2017-01-21,15031,france,1083,1,86.59,0.0,Shipped,exact_duplicate_copy,,,,,,,,,
260003,198300,02-06-2017,31955,Italy,458,5,186.61,17.14,shipped,exact_duplicate_copy,,,,,,,,,
260004,92881,2019.08.24,41187,sweden,1115,4,209.49,20.81,Done,exact_duplicate_copy,,,,,,,,,
260005,175834,2018-06-20,8062,sweden,1879,5,205.62,18.76,done,exact_duplicate_copy,,,,,,,,,
260006,236997,2023-08-18,13105,IT,1862,3,252.5,16.74,Done,exact_duplicate_copy,,,,,,,,,
260007,172254,2016-09-09,47202,Sweden,74,3,82.38,,Done,exact_duplicate_copy,,,,,,,,,
260008,82457,2020-11-27,47810,Austria,2037,2,112.03,23.8,DONE,exact_duplicate_copy,,,,,,,,,
260009,188713,29-07-2022,53893,austria,2043,2,305.12,0.0,completed,exact_duplicate_copy,,,,,,,,,
260010,27362,2019/04/19,29850,FR,274,7,99.38,0.0,COMPLETED,exact_duplicate_copy,,,,,,,,,
260011,107675,2020.10.22,21403,France,147,6,239.13,,Shipped,exact_duplicate_copy,,,,,,,,,
260012,17780,2022-11-18,21157,AT,259,1,295.03,,COMPLETED,exact_duplicate_copy,,,,,,,,,
260013,193107,2020-01-05,33852,AT,2046,2,124.04,11.89,Completed,exact_duplicate_copy,,,,,,,,,
260014,203342,2024-02,52006,Czech Republic,1258,2,93.88,15.61,COMPLETED,exact_duplicate_copy,,,,,,,,,
260015,159618,06-12-2015,4494,Italy,2356,3,244.08,13.21,DONE,exact_duplicate_copy,,,,,,,,,
260016,110085,2019-10-13,23445,spain,1140,2,173.16,1.33,SHIP,exact_duplicate_copy,,,,,,,,,
260017,135869,2021-05-01,7648,NL,1832,2,106.5,,completed,exact_duplicate_copy,,,,,,,,,
260018,152511,2020-03-23,21940,slovak,2421,608,132.08,0.0,completed,exact_duplicate_copy,,,,,,,,,
260019,231654,2021-06-28,21365,Netherlands,2334,7,156.6,31.46,complete,exact_duplicate_copy,,,,,,,,,
260020,155817,16/10/2021,44194,AT,2158,5,329.23,0.0,shipped,exact_duplicate_copy,,,,,,,,,
260021,155156,2022-04-30,19810,Italy,820,3,160.96,10%,Completed,exact_duplicate_copy,,,,,,,,,
260022,149201,2017-09-04,1560,ES,2385,5,123.48,21.07,DONE,exact_duplicate_copy,,,,,,,,,
260023,208783,2020-02-28,43085,SLOVAKIA,1851,3,199.34,30.79,DONE,exact_duplicate_copy,,,,,,,,,
260024,242091,2017-05-16,28043,Czech,2081,5,133.77,8.76,completed,exact_duplicate_copy,,,,,,,,,
260025,204247,2022/09/04,58009,sweden,2182,3,234.89,9.87,shipped,exact_duplicate_copy,,,,,,,,,
260026,153753,2021/12/30,31277,SE,751,2,114.1,0.0,Completed,exact_duplicate_copy,,,,,,,,,
260027,215335,2021-08-17,37203,Netherlands,1770,3,319.62,21.09,Completed,exact_duplicate_copy,,,,,,,,,
260028,137682,2021-08-10,58814,DE,698,5,122.43,7.41,shipped,exact_duplicate_copy,,,,,,,,,
260029,80131,2016-06-12,7471,SK,2221,6,184.09,0.0,Shipped,exact_duplicate_copy,,,,,,,,,
260030,104918,2023-07-20,47063,spain,2289,1,150.34,13.52,DONE,exact_duplicate_copy,,,,,,,,,
260031,239943,25-12-2015,40333,Netherlands,1448,3,113.59,12.61,complete,exact_duplicate_copy,,,,,,,,,
260032,180651,27-03-2022,46746,Sweden,1626,5,133.82,28.14,Done,exact_duplicate_copy,,,,,,,,,
260033,171432,2015-10-26,4503,IT,2078,2,74.09,0.0,complete,exact_duplicate_copy,,,,,,,,,
260034,83252,2016-05-05,14843,Spain,305,3,93.08,,COMPLETED,exact_duplicate_copy,,,,,,,,,
260035,213546,2016/08/03,18060,AT,1324,3,151.31,21.76,SHIP,exact_duplicate_copy,,,,,,,,,
260036,154894,2017.06.27,4732,GER,1812,3,325.96,20.62,Completed,exact_duplicate_copy,,,,,,,,,
260037,147918,11/03/2019,728,France,207,3,313.73,16.95,completed,exact_duplicate_copy,,,,,,,,,
260038,180322,2022-10-01,14217,germany,1134,3,180.05,18.07,Shipped,exact_duplicate_copy,,,,,,,,,
260039,181550,2018-11-28,21914,Austria,1243,4,264.68,0.76,DONE,exact_duplicate_copy,,,,,,,,,
260040,183335,2021-05-07,37559,SK,113,5,201.39,18.52,SHIP,exact_duplicate_copy,,,,,,,,,
260041,137970,2022-05-21,39835,Czechia,1979,5,170.82,1.48,SHIP,exact_duplicate_copy,,,,,,,,,
260042,226423,2019/11/25,40028,Poland,1896,1,191.24,0.0,Done,exact_duplicate_copy,,,,,,,,,
260043,62865,2018/12/28,248,netherlands,1918,3,90.04,11.08,SHIP,exact_duplicate_copy,,,,,,,,,
260044,135168,09/11/2021,41076,slovak,604,2,345.48,9.08,Shipped,exact_duplicate_copy,,,,,,,,,
260045,60437,2021/12/04,14267,netherlands,1221,2,288.75,19.59,DONE,exact_duplicate_copy,,,,,,,,,
260046,233295,15-03-2021,56682,Netherlands,2215,5,154.55,0.0,Done,exact_duplicate_copy,,,,,,,,,
260047,190726,2015/08/28,48439,SLOVAKIA,559,4,204.1,21.84,Completed,exact_duplicate_copy,,,,,,,,,
260048,7075,14/10/2017,8925,Czech,902,7,184.58,1.16,DONE,exact_duplicate_copy,,,,,,,,,
260049,139445,2021-02-22,32489,Czech,1350,6,100.94,5.68,complete,exact_duplicate_copy,,,,,,,,,
260050,17769,2023-03-13,28451,Spain,1446,1,152.47,0.0,DONE,exact_duplicate_copy,,,,,,,,,
260051,60882,2023-01-29,37796,france,885,4,146.25,10%,COMPLETED,exact_duplicate_copy,,,,,,,,,
260052,28843,2021/06/14,38214,DE,616,3,304.61,14.17,complete,exact_duplicate_copy,,,,,,,,,
260053,29139,2016-01-10,23034,SK,2055,2,134.43,,COMPLETED,exact_duplicate_copy,,,,,,,,,
260054,193564,2018/12/11,2998,austria,190,4,226.97,11.3,CANCELLED,exact_duplicate_copy,,,,,,,,,
260055,152961,2019-08-15,43543,Poland,1088,4,124.45,8.14,Shipped,exact_duplicate_copy,,,,,,,,,
260056,71051,2016-04-05,15343,Czech,965,4,54.3,7.24,Completed,exact_duplicate_copy,,,,,,,,,
260057,39453,04-09-2017,49493,austria,692,2,310.43,,Completed,exact_duplicate_copy,,,,,,,,,
260058,212811,2019-11-28,1278,CZ,983,3,135.34,18.86,Completed,exact_duplicate_copy,,,,,,,,,
260059,26876,05-08-2021,23338,france,1781,2,245.02,5.38,Completed,exact_duplicate_copy,,,,,,,,,
260060,259758,2017/09/04,42843,Deutschland,241,2,99.33,,Completed,exact_duplicate_copy,,,,,,,,,
260061,196018,2022-11-22,41877,Austria,599,3,247.19,23.03,SHIP,exact_duplicate_copy,,,,,,,,,
260062,77125,2019.04.15,57279,poland,58,1,242.55,10.52,Shipped,exact_duplicate_copy,,,,,,,,,
260063,997,2021.02.14,29078,GER,1303,6,214.74,16.31,shipped,exact_duplicate_copy,,,,,,,,,
260064,9016,2015/09/09,18760,pl,2192,3,65.07,32.57,Shipped,exact_duplicate_copy,,,,,,,,,
260065,21816,2018/08/12,27360,austria,1350,7,111.97,9.81,CANCELLED,exact_duplicate_copy,,,,,,,,,
260066,50583,not_a_date,24871,PL,1553,2,89.6,13.61,shipped,exact_duplicate_copy,,,,,,,,,
260067,126357,25-02-2023,57801,Czechia,1361,1,173.38,11.81,done,exact_duplicate_copy,,,,,,,,,
260068,37659,20-01-2020,7538,PL,698,2,116.52,17.3,done,exact_duplicate_copy,,,,,,,,,
260069,66015,2017-07-20,54748,Czech,2344,1,259.55,25.8,DONE,exact_duplicate_copy,,,,,,,,,
260070,212141,2018-05-09,3249,france,2089,3,165.41,13.39,shipped,exact_duplicate_copy,,,,,,,,,
260071,219207,2022/08/12,27693,DE,2423,2,332.82,12.14,CANCELLED,exact_duplicate_copy,,,,,,,,,
260072,165968,2021-06-28,50070,GER,1894,4,277.61,,completed,exact_duplicate_copy,,,,,,,,,
260073,200583,2021-03-01,12094,spain,164,2,74.46,2.51,Done,exact_duplicate_copy,,,,,,,,,
260074,74504,2016-10-19,21648,Spain,2357,2,75.91,0.0,complete,exact_duplicate_copy,,,,,,,,,
260075,14288,2015/10/10,49697,CZ,118,2,310.5,0.0,Shipped,exact_duplicate_copy,,,,,,,,,
260076,112156,2015-10-31,28328,czechia,1489,4,218.61,0.0,COMPLETED,exact_duplicate_copy,,,,,,,,,
260077,250693,2024-10-25,4248,Slovakia,773,5,378.41,,Completed,exact_duplicate_copy,,,,,,,,,
260078,139741,2015-12-29,44964,netherlands,1675,608,167.49,0.0,completed,exact_duplicate_copy,,,,,,,,,
260079,236680,2024-12-31,36277,slovak,1546,4,87.2,23.23,Done,exact_duplicate_copy,,,,,,,,,
260080,138372,2018-10-21,18358,Slovakia,2301,2,234.32,,done,exact_duplicate_copy,,,,,,,,,
260081,39001,2022/04/19,45866,Sweden,1937,4,282.15,22.73,complete,exact_duplicate_copy,,,,,,,,,
260082,170424,2018-07-27,49372,ES,1960,2,281.03,18.93,Done,exact_duplicate_copy,,,,,,,,,
260083,209991,2021-07-11,28162,ES,2158,3,291.06,22.31,done,exact_duplicate_copy,,,,,,,,,
260084,34282,2021/12/20,40881,Slovakia,452,3,153.66,2.13,done,exact_duplicate_copy,,,,,,,,,
260085,111588,2019/05/09,40334,Holland,1182,2,113.63,,Completed,exact_duplicate_copy,,,,,,,,,
260086,131752,2018-05-20,29169,SE,1736,6,275.38,14.75,shipped,exact_duplicate_copy,,,,,,,,,
260087,24913,2019-07-09,53858,france,2395,5,91.06,17.43,done,exact_duplicate_copy,,,,,,,,,
260088,228609,2015/12/16,30580,slovak,38,1,146.37,0.0,DONE,exact_duplicate_copy,,,,,,,,,
260089,62040,2021/05/24,30523,Slovakia,925,4,235.66,,Shipped,exact_duplicate_copy,,,,,,,,,
260090,99072,2024-10-04,25399,poland,1889,3,222.05,14.04,done,exact_duplicate_copy,,,,,,,,,
260091,87803,2024/02/23,33761,Sweden,825,4,354.35,2.15,SHIP,exact_duplicate_copy,,,,,,,,,
260092,213706,02-11-2020,45150,Czech Republic,1422,2,272.36,5.91,SHIP,exact_duplicate_copy,,,,,,,,,
260093,90425,2016/10/26,29737,pl,2223,7,258.19,20.16,DONE,exact_duplicate_copy,,,,,,,,,
260094,173392,2017-12-05,8668,pl,1884,4,76.62,5.78,complete,exact_duplicate_copy,,,,,,,,,
260095,58194,2021-11-19,47257,sweden,2336,3,149.8,16.61,complete,exact_duplicate_copy,,,,,,,,,
260096,198135,2019-08-11,54492,spain,2348,1,228.0,12.27,DONE,exact_duplicate_copy,,,,,,,,,
260097,207065,2018/02/22,36495,netherlands,244,3,128.98,18.21,Completed,exact_duplicate_copy,,,,,,,,,
260098,186241,2022.09.04,9218,Czech,133,5,303.59,28.94,complete,exact_duplicate_copy,,,,,,,,,
260099,54173,2017/04/04,33497,FR,836,5,249.72,,SHIP,exact_duplicate_copy,,,,,,,,,
260100,140833,2023-10-19,5375,AT,1911,5,250.69,22.86,completed,exact_duplicate_copy,,,,,,,,,
260101,36660,2017-10-11,3416,Sweden,1431,2,64.11,14.23,completed,exact_duplicate_copy,,,,,,,,,
260102,220264,2023-12-24,23594,Sweden,935,1,133.27,19.82,shipped,exact_duplicate_copy,,,,,,,,,
260103,163718,08-02-2018,51280,CZ,1279,5,191.1,21.25,SHIP,exact_duplicate_copy,,,,,,,,,
260104,39595,2021-03-24,11901,netherlands,2266,1,185.52,21.4,completed,exact_duplicate_copy,,,,,,,,,
260105,220402,2019-12-03,57152,Czech,664,1,148.59,3.51,shipped,exact_duplicate_copy,,,,,,,,,
260106,231893,2021/06/02,8261,Italy,1560,4,181.3,,Completed,exact_duplicate_copy,,,,,,,,,
260107,175493,04-12-2022,59172,spain,1474,3,216.78,27.35,completed,exact_duplicate_copy,,,,,,,,,
260108,94438,2019-07-07,51752,PL,407,3,143.24,0.0,Done,exact_duplicate_copy,,,,,,,,,
260109,35898,2024-09-19,12145,SLOVAKIA,626,4,213.34,9.63,Done,exact_duplicate_copy,,,,,,,,,
260110,22853,2018-11-13,14549,austria,1699,1,250.37,0.0,Shipped,exact_duplicate_copy,,,,,,,,,
260111,90477,2019/06/15,37865,Italy,1253,2,110.92,19.11,shipped,exact_duplicate_copy,,,,,,,,,
260112,138963,18-10-2017,33680,Deutschland,1136,3,290.24,1.03,Shipped,exact_duplicate_copy,,,,,,,,,
260113,71435,2017-11-09,1796,Germany,278,1,291.37,4.1,DONE,exact_duplicate_copy,,,,,,,,,
260114,73219,2021-01,44259,SE,243,3,275.17,19.54,DONE,exact_duplicate_copy,,,,,,,,,
260115,113866,2019-02-23,31950,Austria,35,2,203.24,6.99,DONE,exact_duplicate_copy,,,,,,,,,
260116,33058,2015-08-09,301,Czechia,1878,1,112.32,12.59,DONE,exact_duplicate_copy,,,,,,,,,
260117,339,2024-12-15,59576,ES,748,4,186.33,19.27,done,exact_duplicate_copy,,,,,,,,,
260118,224277,2024-12-11,38755,slovak,92,6,87.07,9.86,Done,exact_duplicate_copy,,,,,,,,,
260119,172288,2021-01-06,19120,Slovakia,1289,1,240.08,0.0,complete,exact_duplicate_copy,,,,,,,,,
260120,149195,2022-01-08,28195,Deutschland,251,1,308.66,7.0,Shipped,exact_duplicate_copy,,,,,,,,,
260121,89109,2022-10-13,54568,SK,1322,1,275.08,8.1,Completed,exact_duplicate_copy,,,,,,,,,
260122,129935,2023/08/02,8803,Sweden,1077,1,265.94,0.0,complete,exact_duplicate_copy,,,,,,,,,
260123,225726,2015-09-27,38262,pl,2092,3,140.55,15.79,COMPLETED,exact_duplicate_copy,,,,,,,,,
260124,63804,2016-08-05,31794,austria,2045,1,231.0,16.74,DONE,exact_duplicate_copy,,,,,,,,,
260125,113215,2020-06-24,54221,austria,1526,5,229.87,12.02,Done,exact_duplicate_copy,,,,,,,,,
260126,49925,2018-06-30,56960,netherlands,1722,5,194.8,20.05,complete,exact_duplicate_copy,,,,,,,,,
260127,112239,02-02-2022,43966,sweden,308,2,118.19,13.76,complete,exact_duplicate_copy,,,,,,,,,
260128,25320,2015/02/22,21852,Czech,1699,5,196.75,16.62,complete,exact_duplicate_copy,,,,,,,,,
260129,239284,2020-02-13,7275,POL,555,1,200.42,3.41,shipped,exact_duplicate_copy,,,,,,,,,
260130,255720,2020-10-30,22256,NL,997,2,109.95,2.48,complete,exact_duplicate_copy,,,,,,,,,
260131,109535,12/07/2022,55832,austria,805,1,295.17,16.11,completed,exact_duplicate_copy,,,,,,,,,
260132,64422,21-09-2016,9640,France,344,4,77.75,13.18,SHIP,exact_duplicate_copy,,,,,,,,,
260133,216388,2017-02-05,40045,Holland,1521,6,106.32,3.6,complete,exact_duplicate_copy,,,,,,,,,
260134,44466,2021/03/19,13047,SLOVAKIA,1473,4,125.75,2.38,DONE,exact_duplicate_copy,,,,,,,,,
260135,90039,01-03-2015,47304,CZ,1123,5,187.06,0.0,CANCELLED,exact_duplicate_copy,,,,,,,,,
260136,215275,2021/09/25,32115,SLOVAKIA,311,5,293.91,0.0,COMPLETED,exact_duplicate_copy,,,,,,,,,
260137,117910,2020-08-03,52314,Czech,1465,5,234.78,15.86,done,exact_duplicate_copy,,,,,,,,,
260138,54626,2016-09-16,36550,Deutschland,421,4,165.97,22.79,Shipped,exact_duplicate_copy,,,,,,,,,
260139,253834,2017/10/02,14774,Sweden,2354,4,75.29,3.07,complete,exact_duplicate_copy,,,,,,,,,
260140,166643,04-03-2016,58393,slovak,469,5,233.94,0.0,Completed,exact_duplicate_copy,,,,,,,,,
260141,105614,16/10/2024,26885,Deutschland,312,2,322.26,7.66,Done,exact_duplicate_copy,,,,,,,,,
260142,142452,2024/11/03,1940,austria,427,4,153.85,8.14,DONE,exact_duplicate_copy,,,,,,,,,
260143,250724,2019/01/05,4249,spain,416,2,272.63,18.09,Shipped,exact_duplicate_copy,,,,,,,,,
260144,211378,2022-12-11,52028,Czech,978,1,83.18,14.88,DONE,exact_duplicate_copy,,,,,,,,,
260145,247822,2017-06-10,50680,Spain,1301,3,135.58,2.39,Completed,exact_duplicate_copy,,,,,,,,,
260146,170159,2016-03-13,8611,Spain,838,1,255.77,10.23,CANCELLED,exact_duplicate_copy,,,,,,,,,
260147,82713,2015-04-14,15740,netherlands,1258,1,72.89,7.15,SHIP,exact_duplicate_copy,,,,,,,,,
260148,197925,10-12-2022,51370,Austria,827,6,298.76,12.31,complete,exact_duplicate_copy,,,,,,,,,
260149,253273,2015-02-05,38005,sweden,751,1,78.99,5.19,Completed,exact_duplicate_copy,,,,,,,,,
260150,104847,2015-11-20,55650,Spain,681,2,248.76,0.0,SHIP,exact_duplicate_copy,,,,,,,,,
260151,11734,2020-01-24,35023,DE,1154,2,173.36,3.23,COMPLETED,exact_duplicate_copy,,,,,,,,,
260152,47812,22-11-2019,2072,IT,1726,5,273.69,27.54,Completed,exact_duplicate_copy,,,,,,,,,
260153,214623,2021-11-24,58574,Czech Republic,188,4,185.57,,Done,exact_duplicate_copy,,,,,,,,,
260154,154494,2022/09/23,23426,GER,222,4,128.49,,CANCELLED,exact_duplicate_copy,,,,,,,,,
260155,194249,28-06-2021,4726,poland,1358,3,274.19,7.95,Shipped,exact_duplicate_copy,,,,,,,,,
260156,143982,2016-03-12,45512,CZ,1790,3,298.29,,SHIP,exact_duplicate_copy,,,,,,,,,
260157,88317,2020-09-03,25917,Italy,1323,2,113.32,16.08,SHIP,exact_duplicate_copy,,,,,,,,,
260158,246365,2023-06-15,15997,Sweden,35,2,203.55,11.28,CANCELLED,exact_duplicate_copy,,,,,,,,,
260159,120756,2016/02/09,22752,Deutschland,937,2,276.1,22.5,Completed,exact_duplicate_copy,,,,,,,,,
260160,78108,2015-07-05,55023,Italy,728,3,239.16,12.94,Completed,exact_duplicate_copy,,,,,,,,,
260161,225546,2019-12-20,32827,Sweden,1349,608,164.43,6.69,Completed,exact_duplicate_copy,,,,,,,,,
260162,140149,2023-09-06,28652,SE,66,608,309.98,28.17,Completed,exact_duplicate_copy,,,,,,,,,
260163,48509,2019-08-30,7498,CZ,1576,4,161.18,5.58,complete,exact_duplicate_copy,,,,,,,,,
260164,259929,04-09-2023,24835,France,1165,5,133.92,24.86,COMPLETED,exact_duplicate_copy,,,,,,,,,
260165,196688,2018-07-07,31084,france,340,4,136.29,32.57,done,exact_duplicate_copy,,,,,,,,,
260166,17126,2021-01-30,1534,pl,1035,2,179.44,15.0,CANCELLED,exact_duplicate_copy,,,,,,,,,
